Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z,Compass X,Compass Y,Compass Z,Lidar,Temperature,Time
-5,30,-266,-72,67,29,178,223,-23,55,23.85,25091
-3,33,-266,-74,67,24,179,223,-20,49,23.87,25177
-6,33,-260,-71,67,26,182,220,-18,51,23.91,25264
-2,31,-264,-72,68,27,185,222,-17,53,23.93,25350
-4,32,-264,-72,67,24,182,221,-20,53,23.81,25437
-2,30,-262,-72,67,28,182,223,-19,53,23.91,25523
-2,30,-263,-72,68,25,182,220,-18,53,23.91,25610
-5,31,-260,-71,67,27,181,223,-21,54,23.91,25696
-4,31,-259,-72,69,26,182,222,-21,54,23.91,25783
-4,30,-265,-72,67,25,185,225,-21,53,23.81,25869
-4,31,-263,-72,67,26,183,222,-21,54,23.93,25956
-3,31,-262,-72,68,26,184,225,-18,52,23.85,26042
-5,33,-262,-72,67,26,184,223,-19,54,23.85,26129
-2,30,-267,-72,67,26,183,223,-20,53,24.05,26215
-4,31,-263,-72,67,26,182,220,-17,54,23.85,26302
-3,33,-260,-72,67,26,181,222,-16,54,23.93,26388
-4,31,-260,-72,67,26,182,223,-17,54,23.93,26475
-5,31,-261,-72,68,26,183,222,-15,52,23.79,26561
-4,31,-262,-72,67,27,180,225,-18,53,23.97,26648
-3,32,-262,-72,67,26,181,225,-17,54,23.91,26734
1,30,-262,-72,67,26,182,223,-18,51,23.81,26821
-38,0,-252,-72,67,26,182,223,-18,50,23.85,26907
-14,56,-269,-73,68,24,195,223,-22,54,23.93,26994
-2,71,-267,-72,67,29,197,224,-22,54,23.99,27081
-5,29,-268,-72,67,25,183,227,-21,52,23.93,27167
-4,33,-264,-72,66,26,182,223,-23,56,23.93,27254
-2,32,-264,-71,67,28,184,225,-20,52,23.81,27340
-5,31,-262,-72,68,22,183,221,-18,53,23.81,27427
-3,31,-263,-72,67,30,183,221,-19,51,23.93,27513
-5,32,-263,-73,67,23,183,226,-20,53,23.93,27600
-5,30,-263,-72,67,27,183,223,-21,54,23.93,27686
-2,31,-264,-71,67,26,181,221,-19,54,23.85,27773
-5,32,-261,-72,67,24,182,223,-19,49,23.81,27859
-2,31,-261,-72,67,29,185,224,-21,50,23.91,27947
-4,32,-263,-72,68,24,184,221,-18,54,23.91,28033
-5,32,-262,-72,67,26,179,224,-17,52,23.85,28120
-2,32,-262,-73,66,28,182,227,-18,54,24.09,28206
-3,30,-263,-71,67,26,183,227,-19,53,23.85,28293
-5,29,-273,-73,69,26,184,226,-18,54,23.97,28379
-4,31,-260,-73,67,26,184,224,-18,52,23.87,28466
-4,31,-265,-71,67,26,182,222,-18,51,23.81,28552
-3,33,-261,-72,67,27,179,219,-17,52,23.91,28639
-3,32,-264,-72,68,25,179,222,-22,51,23.91,28725
-3,32,-264,-72,68,26,184,220,-16,53,23.91,28812
-3,32,-265,-71,67,27,181,223,-19,51,23.81,28898
-4,31,-261,-72,68,26,183,225,-19,51,23.91,28985
9,21,-265,-71,67,27,192,231,-19,50,23.79,29071
28,55,-278,-71,67,25,185,223,-22,53,23.85,29158
-2,62,-267,-71,67,27,183,222,-22,52,23.99,29245
-5,15,-265,-73,67,23,189,221,-20,54,23.87,29331
-6,32,-263,-72,67,27,182,222,-20,55,23.85,29418
-4,31,-263,-72,68,28,180,223,-20,52,23.81,29504
-4,31,-263,-72,67,23,183,220,-18,54,23.81,29591
-4,32,-262,-72,67,29,184,221,-16,51,23.85,29677
-3,32,-262,-72,67,24,182,226,-16,54,24.03,29764
-2,31,-261,-72,68,26,183,222,-18,53,23.85,29850
-3,32,-262,-72,67,28,183,219,-20,53,23.91,29937
-5,32,-261,-72,67,23,184,222,-16,56,23.97,30023
-3,30,-261,-71,67,29,188,223,-19,53,23.93,30110
-3,32,-262,-73,67,25,181,223,-20,52,24.09,30196
-3,30,-268,-72,67,25,181,224,-17,51,24.09,30283
-4,32,-261,-72,68,28,185,221,-18,52,23.87,30369
-4,32,-262,-72,67,23,184,223,-18,52,23.81,30456
-4,32,-261,-72,67,28,181,223,-16,51,23.85,30542
-3,32,-261,-72,67,26,181,222,-20,51,24.11,30629
-3,32,-262,-72,68,25,182,222,-20,51,23.91,30715
-4,32,-262,-72,67,27,183,223,-18,58,23.87,30802
-4,31,-262,-72,67,26,183,225,-20,54,23.91,30888
